rank,brand_name,series,model_name,color,material,rate,price,avaliability,made_in,reference_number,movement,link
1,Swatch,BBBLACK,Swatch - BBBLACK - SO27B100,Black,Silicone,,4870,True,Switzerland,SO27B100,Quartz,https://egywatch.com//collections/watches/products/swatch-bbblack-so27b100
2,Casio,General,Casio - General - MTP-V002D-1BUDF,Silver,Stainless Steel,,1550,True,China,MTP-V002D-1BUDF,Quartz,https://egywatch.com//collections/watches/products/casio-general-mtp-v002d-1budf
3,Casio,General,Casio - General - MTP-1374D-1AVDF,Silver,Stainless Steel,5.0,3695,True,China,MTP-1374D-1AVDF,Quartz,https://egywatch.com//collections/watches/products/casio-general-mtp-1374d-1avdf
4,Swatch,SS2014,SWATCH - WALES- YVS410G,,,4.0,7180,True,Switzerland,YVS410G,,https://egywatch.com//collections/watches/products/wales
5,Tissot,PRX,Tissot - PRX - T137.410.11.041,Silver,Stainless Steel,,16500,True,Switzerland,T137.410.11.041,Quartz,https://egywatch.com//collections/watches/products/tissot-prx-t137-410-11-041
6,Swatch,Checkpoint Black,Swatch - Checkpoint Black - SB02B400,Black,Silicone,5.0,6400,True,Switzerland,SB02B400,Quartz,https://egywatch.com//collections/watches/products/swatch-checkpoint-black-sb02b400
7,Tissot,SUPERSPORT CHRONO VUELTA SPECIAL EDITION,Tissot - SUPERSPORT CHRONO VUELTA - T125.617.17.051.01,Red & Black,Rubber / Leather,5.0,19710,True,Switzerland,T125.617.17.051.01,Quartz,https://egywatch.com//collections/watches/products/tissot-supersport-chrono-vuelta-special-edition-t125-617-17-051-01
8,Casio,Youth,Casio - Youth - F-91WS-7DF,Transparent,Resin,,1525,True,China,F-91WS-7DF,Quartz,https://egywatch.com//collections/watches/products/casio-youth-f-91ws-7df
9,Tommy Hilfiger,Berlin,Tommy Jeans - Berlin - 172.0025,Blue/Red,Rubber,4.0,6130,True,China,172.0025,Quartz,https://egywatch.com//collections/watches/products/tommy-jeans-berlin-172-0025
10,Casio,General,Casio -General - MTP-V002D-7BUDF,Silver,Stainless Steel,5.0,1550,True,China,MTP-V002D-7BUDF,Quartz,https://egywatch.com//collections/watches/products/casio-general-mtp-v002d-7budf
11,Lacoste,Le Croc,Lacoste - Le Croc - 2011156,Black,Silicone,,6030,True,China,2011156,Quartz,https://egywatch.com//collections/watches/products/lacoste-le-croc-2011156
12,Swatch,Golden Yacht,Swatch - Golden Yacht - YOG409,Blue,Leather,,7580,True,Switzerland,YOG409,Quartz,https://egywatch.com//collections/watches/products/golden-yacht
13,Casio,General,Casio - General - AE-2000W-1BVDF,,,5.0,1895,True,China,AE-2000W-1BVDF,,https://egywatch.com//collections/watches/products/casio-general-ae-2000w-1bvdf
